phase,step,arith_ops,mem_ops,compare_ops,mac_ops,total_cycles
OFFLINE,"Kmer-to-Current Table",49960,30991,4996,24980,389846
OFFLINE,"Reference Index Build",99910,70364,4546,49955,858051
ONLINE,"Signal Normalization",24803,14880,0,4960,178563
ONLINE,"Event Detection",16368,10416,0,4960,125488
ONLINE,"Query Minimizers",4920,4923,4947,2460,61557
ONLINE,"Seeding",0,1,1,0,11
ONLINE,"DTW Alignment",112500,261780,109530,37500,2877330
ONLINE,"Chaining & Mapping",690,241,253,105,3458
OFFLINE_TOTAL,OFFLINE SUBTOTAL,,,,,1247897
ONLINE_TOTAL,ONLINE SUBTOTAL,,,,,3246407
GRAND_TOTAL,GRAND TOTAL,,,,,4494304
